Lever_position,Ship_speed_knots,Turbine_shaft_torque_kNm,Turbine_rpm,Generator_rpm,Starboard_propeller_torque_kN,Port_propeller_torque_kN,Turbine_exit_temperature_C,Compressor_inlet_temperature_C,Compressor_outlet_temperature_C,Turbine_exit_pressure_bar,Compressor_inlet_pressure_bar,Compressor_outlet_pressure_bar,Turbine_exhaust_gas_pressure_bar,Turbine_injecton_control_%,Fuel_mass_flow_kg/s,GT_kMc,GT_kMt
2.09,6.0,6960.0,1380.0,6830.0,28.2,28.2,635.0,288.0,582.0,1.33,1.0,7.28,1.02,10.7,0.29,0.95,0.98
3.14,9.0,8380.0,1390.0,7110.0,60.4,60.4,606.0,288.0,588.0,1.39,1.0,7.57,1.02,13.1,0.26,0.95,0.98
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,661.0,288.0,614.0,1.66,1.0,9.01,1.02,18.1,0.36,0.95,0.98
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,731.0,288.0,646.0,2.08,1.0,11.2,1.03,26.4,0.52,0.95,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,855.0,288.0,700.0,2.96,1.0,15.7,1.04,45.9,0.91,0.95,0.98
1.14,3.0,380.0,1360.0,6680.0,7.92,7.92,464.0,288.0,551.0,1.1,1.0,5.96,1.02,3.88,0.08,0.95,0.98
2.09,6.0,6970.0,1370.0,6830.0,27.4,27.4,636.0,288.0,581.0,1.33,1.0,7.27,1.02,12.8,0.29,0.95,0.98
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,661.0,288.0,614.0,1.66,1.0,9.0,1.02,18.1,0.36,0.95,0.98
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,730.0,288.0,645.0,2.08,1.0,11.2,1.03,26.3,0.52,0.95,0.98
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,799.0,288.0,676.0,2.5,1.0,13.3,1.03,35.7,0.71,0.95,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,854.0,288.0,700.0,2.96,1.0,15.7,1.04,45.8,0.91,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,951.0,288.0,742.0,3.58,1.0,18.6,1.04,62.3,1.23,0.95,0.98
2.09,6.0,6960.0,1370.0,6830.0,27.3,27.3,635.0,288.0,581.0,1.33,1.0,7.26,1.02,13.2,0.29,0.95,0.98
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,604.0,288.0,587.0,1.39,1.0,7.56,1.02,13.0,0.26,0.95,0.98
4.16,12.0,14700.0,1550.0,7800.0,114.0,114.0,660.0,288.0,614.0,1.66,1.0,8.99,1.02,18.0,0.36,0.95,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,853.0,288.0,700.0,2.96,1.0,15.6,1.04,45.7,0.91,0.95,0.98
1.14,3.0,1340.0,1390.0,6710.0,10.0,10.0,491.0,288.0,557.0,1.14,1.0,6.19,1.02,0.0,0.11,0.95,0.98
2.09,6.0,6900.0,1370.0,6830.0,26.5,26.5,634.0,288.0,581.0,1.33,1.0,7.24,1.02,15.3,0.29,0.95,0.98
4.16,12.0,14700.0,1550.0,7800.0,114.0,114.0,659.0,288.0,613.0,1.66,1.0,8.98,1.02,18.0,0.36,0.95,0.98
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,729.0,288.0,645.0,2.08,1.0,11.2,1.03,26.2,0.52,0.95,0.98
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,797.0,288.0,676.0,2.5,1.0,13.3,1.03,35.5,0.7,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,949.0,288.0,741.0,3.57,1.0,18.6,1.04,62.1,1.23,0.95,0.98
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,603.0,288.0,587.0,1.39,1.0,7.54,1.02,12.9,0.26,0.95,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,851.0,288.0,699.0,2.96,1.0,15.6,1.04,45.6,0.9,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,948.0,288.0,741.0,3.57,1.0,18.5,1.04,62.1,1.23,0.95,0.98
4.16,12.0,14700.0,1550.0,7800.0,114.0,114.0,657.0,288.0,613.0,1.66,1.0,8.96,1.02,17.9,0.35,0.95,0.98
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,795.0,288.0,675.0,2.5,1.0,13.3,1.03,35.4,0.7,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,947.0,288.0,741.0,3.57,1.0,18.5,1.04,62.0,1.23,0.95,0.98
9.3,27.0,72800.0,3560.0,9780.0,645.0,645.0,1110.0,288.0,788.0,4.49,1.0,22.7,1.05,92.0,1.82,0.95,0.98
1.14,3.0,2950.0,1420.0,6740.0,11.6,11.6,538.0,288.0,565.0,1.21,1.0,6.53,1.02,0.0,0.16,0.95,0.98
2.09,6.0,6800.0,1360.0,6840.0,25.9,25.9,629.0,288.0,580.0,1.32,1.0,7.2,1.02,16.7,0.29,0.95,0.98
3.14,9.0,8380.0,1390.0,7130.0,60.4,60.4,601.0,288.0,587.0,1.39,1.0,7.53,1.02,12.9,0.26,0.95,0.98
4.16,12.0,14700.0,1550.0,7800.0,114.0,114.0,656.0,288.0,613.0,1.66,1.0,8.95,1.02,17.9,0.35,0.95,0.98
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,849.0,288.0,699.0,2.96,1.0,15.6,1.04,45.4,0.9,0.95,0.98
9.3,27.0,72800.0,3560.0,9780.0,645.0,645.0,1110.0,288.0,788.0,4.49,1.0,22.6,1.05,91.9,1.82,0.95,0.98
2.09,6.0,6610.0,1360.0,6840.0,25.0,25.0,625.0,288.0,579.0,1.32,1.0,7.16,1.02,18.9,0.28,0.95,0.98
3.14,9.0,8380.0,1390.0,7130.0,60.4,60.4,600.0,288.0,587.0,1.39,1.0,7.52,1.02,12.8,0.25,0.95,0.98
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,725.0,288.0,644.0,2.08,1.0,11.1,1.03,26.0,0.51,0.95,0.98
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,847.0,288.0,699.0,2.96,1.0,15.6,1.04,45.3,0.9,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,945.0,288.0,741.0,3.57,1.0,18.5,1.04,61.8,1.22,0.95,0.98
9.3,27.0,72800.0,3560.0,9780.0,645.0,645.0,1110.0,288.0,788.0,4.49,1.0,22.6,1.05,91.8,1.82,0.95,0.98
1.14,3.0,4050.0,1420.0,6750.0,11.6,11.6,570.0,288.0,570.0,1.25,1.0,6.73,1.02,0.0,0.2,0.95,0.98
3.14,9.0,8380.0,1390.0,7130.0,60.4,60.4,599.0,288.0,586.0,1.39,1.0,7.52,1.02,12.8,0.25,0.95,0.98
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,724.0,288.0,644.0,2.08,1.0,11.1,1.03,25.9,0.51,0.95,0.98
6.18,18.0,29800.0,2310.0,8840.0,246.0,246.0,791.0,288.0,675.0,2.5,1.0,13.2,1.03,35.2,0.7,0.95,0.98
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,846.0,288.0,699.0,2.96,1.0,15.5,1.04,45.2,0.9,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,944.0,288.0,740.0,3.57,1.0,18.5,1.04,61.7,1.22,0.95,0.98
1.14,3.0,5450.0,1410.0,6740.0,11.0,11.0,610.0,288.0,575.0,1.29,1.0,6.98,1.02,0.0,0.25,0.95,0.98
2.09,6.0,6490.0,1360.0,6840.0,24.6,24.6,620.0,288.0,578.0,1.31,1.0,7.12,1.02,19.5,0.28,0.95,0.98
4.16,12.0,14700.0,1550.0,7810.0,114.0,114.0,653.0,288.0,612.0,1.66,1.0,8.93,1.02,17.7,0.35,0.95,0.98
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,723.0,288.0,644.0,2.08,1.0,11.1,1.03,25.9,0.51,0.95,0.98
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,845.0,288.0,698.0,2.96,1.0,15.5,1.04,45.2,0.89,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,943.0,288.0,740.0,3.57,1.0,18.4,1.04,61.6,1.22,0.95,0.98
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1110.0,288.0,788.0,4.49,1.0,22.6,1.05,91.6,1.81,0.95,0.98
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,722.0,288.0,644.0,2.08,1.0,11.1,1.03,25.8,0.51,0.95,0.99
6.18,18.0,29800.0,2310.0,8840.0,246.0,246.0,789.0,288.0,674.0,2.5,1.0,13.2,1.03,35.0,0.69,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,844.0,288.0,698.0,2.96,1.0,15.5,1.04,45.1,0.89,0.95,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,942.0,288.0,740.0,3.57,1.0,18.4,1.04,61.5,1.22,0.95,0.99
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1110.0,288.0,788.0,4.49,1.0,22.5,1.05,91.5,1.81,0.95,0.99
3.14,9.0,8380.0,1390.0,7140.0,60.4,60.4,597.0,288.0,586.0,1.39,1.0,7.49,1.02,12.7,0.25,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,843.0,288.0,698.0,2.96,1.0,15.5,1.04,45.0,0.89,0.95,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,941.0,288.0,740.0,3.57,1.0,18.4,1.04,61.4,1.22,0.95,0.99
1.14,3.0,7460.0,1360.0,6720.0,8.44,8.44,672.0,288.0,581.0,1.33,1.0,7.25,1.02,11.4,0.33,0.95,0.99
3.14,9.0,8380.0,1390.0,7140.0,60.4,60.4,596.0,288.0,586.0,1.39,1.0,7.49,1.02,12.7,0.25,0.95,0.99
4.16,12.0,14700.0,1550.0,7820.0,114.0,114.0,651.0,288.0,612.0,1.66,1.0,8.9,1.02,17.6,0.35,0.95,0.99
5.14,15.0,21600.0,1920.0,8510.0,175.0,175.0,720.0,288.0,643.0,2.08,1.0,11.1,1.03,25.7,0.51,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,842.0,288.0,698.0,2.96,1.0,15.5,1.04,44.9,0.89,0.95,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,940.0,288.0,740.0,3.57,1.0,18.4,1.04,61.3,1.21,0.95,0.99
2.09,6.0,6170.0,1350.0,6850.0,23.9,23.9,610.0,288.0,576.0,1.3,1.0,7.04,1.02,21.3,0.27,0.95,0.99
5.14,15.0,21600.0,1920.0,8510.0,175.0,175.0,719.0,288.0,643.0,2.08,1.0,11.0,1.03,25.6,0.51,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,841.0,288.0,698.0,2.96,1.0,15.5,1.04,44.8,0.89,0.95,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,939.0,288.0,740.0,3.57,1.0,18.4,1.04,61.2,1.21,0.95,0.99
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1100.0,288.0,787.0,4.48,1.0,22.5,1.05,91.2,1.81,0.95,0.99
1.14,3.0,4890.0,1310.0,6700.0,5.6,5.6,615.0,288.0,571.0,1.25,1.0,6.77,1.02,33.2,0.28,0.95,0.99
2.09,6.0,5860.0,1350.0,6850.0,23.4,23.4,601.0,288.0,575.0,1.29,1.0,6.98,1.02,22.2,0.26,0.95,0.99
3.14,9.0,8380.0,1390.0,7150.0,60.4,60.4,594.0,288.0,585.0,1.39,1.0,7.47,1.02,12.6,0.25,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,840.0,288.0,698.0,2.96,1.0,15.4,1.04,44.7,0.89,0.95,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,938.0,288.0,740.0,3.56,1.0,18.3,1.04,61.1,1.21,0.95,0.99
