,Turbine_exit_pressure_bar,Turbine_exit_temperature_C,Ship_speed_knots,output_power
0,1.33,635.0,6.0,1005.8123039733081
1,1.39,606.0,9.0,1219.7966515848211
2,1.66,661.0,12.0,2386.039620401448
3,2.08,731.0,15.0,4342.937684322529
4,2.96,855.0,21.0,10945.308805106837
5,1.1,464.0,3.0,54.11916944584017
6,1.33,636.0,6.0,999.9584696621191
7,1.66,661.0,12.0,2386.039620401448
8,2.08,730.0,15.0,4342.937684322529
9,2.5,799.0,18.0,7208.698502927139
10,2.96,854.0,21.0,10945.308805106837
11,3.58,951.0,24.0,16502.78620930718
12,1.33,635.0,6.0,998.5238090169796
13,1.39,604.0,9.0,1219.7966515848211
14,1.66,660.0,12.0,2386.039620401448
15,2.96,853.0,21.0,10945.308805106837
16,1.14,491.0,3.0,195.0510158858783
17,1.33,634.0,6.0,989.9158451461437
18,1.66,659.0,12.0,2386.039620401448
19,2.08,729.0,15.0,4342.937684322529
20,2.5,797.0,18.0,7208.698502927139
21,3.57,949.0,24.0,16502.78620930718
22,1.39,603.0,9.0,1219.7966515848211
23,2.96,851.0,21.0,10945.308805106837
24,3.57,948.0,24.0,16502.78620930718
25,1.66,657.0,12.0,2386.039620401448
26,2.5,795.0,18.0,7208.698502927139
27,3.57,947.0,24.0,16502.78620930718
28,4.49,1110.0,27.0,27140.00949485198
29,1.21,538.0,3.0,438.6710541962549
30,1.32,629.0,6.0,968.4482953466136
31,1.39,601.0,9.0,1219.7966515848211
32,1.66,656.0,12.0,2386.039620401448
33,2.96,849.0,21.0,10945.308805106837
34,4.49,1110.0,27.0,27140.00949485198
35,1.32,625.0,6.0,941.3887106236936
36,1.39,600.0,9.0,1219.7966515848211
37,2.08,725.0,15.0,4342.937684322529
38,2.96,847.0,21.0,10945.308805106837
39,3.57,945.0,24.0,16502.78620930718
40,4.49,1110.0,27.0,27140.00949485198
41,1.25,570.0,3.0,602.2433116931634
42,1.39,599.0,9.0,1219.7966515848211
43,2.08,724.0,15.0,4342.937684322529
44,2.5,791.0,18.0,7208.698502927139
45,2.96,846.0,21.0,10945.308805106837
46,3.57,944.0,24.0,16502.78620930718
47,1.29,610.0,3.0,804.7189582170255
48,1.31,620.0,6.0,924.298446588165
49,1.66,653.0,12.0,2386.039620401448
50,2.08,723.0,15.0,4342.937684322529
51,2.96,845.0,21.0,10945.308805106837
52,3.57,943.0,24.0,16502.78620930718
53,4.49,1110.0,27.0,27140.00949485198
54,2.08,722.0,15.0,4342.937684322529
55,2.5,789.0,18.0,7208.698502927139
56,2.96,844.0,21.0,10945.308805106837
57,3.57,942.0,24.0,16502.78620930718
58,4.49,1110.0,27.0,27140.00949485198
59,1.39,597.0,9.0,1219.7966515848211
60,2.96,843.0,21.0,10945.308805106837
61,3.57,941.0,24.0,16502.78620930718
62,1.33,672.0,3.0,1062.4447475420202
63,1.39,596.0,9.0,1219.7966515848211
64,1.66,651.0,12.0,2386.039620401448
65,2.08,720.0,15.0,4342.937684322529
66,2.96,842.0,21.0,10945.308805106837
67,3.57,940.0,24.0,16502.78620930718
68,1.3,610.0,6.0,872.2632002692061
69,2.08,719.0,15.0,4342.937684322529
70,2.96,841.0,21.0,10945.308805106837
71,3.57,939.0,24.0,16502.78620930718
72,4.48,1100.0,27.0,27140.00949485198
73,1.25,615.0,3.0,670.8242793210285
74,1.29,601.0,6.0,828.4379827516285
75,1.39,594.0,9.0,1219.7966515848211
76,2.96,840.0,21.0,10945.308805106837
77,3.56,938.0,24.0,16502.78620930718
78,4.48,1100.0,27.0,27140.00949485198
79,1.65,648.0,12.0,2386.039620401448
80,2.5,784.0,18.0,7208.698502927139
81,2.95,839.0,21.0,10945.308805106837
82,3.56,937.0,24.0,16502.78620930718
83,1.18,551.0,3.0,362.16280110583136
84,1.28,594.0,6.0,793.0950653987433
85,1.39,593.0,9.0,1219.7966515848211
86,2.5,783.0,18.0,7208.698502927139
87,2.95,838.0,21.0,10945.308805106837
88,4.48,1100.0,27.0,27140.00949485198
89,1.15,522.0,3.0,240.07003861182
90,1.39,592.0,9.0,1219.7966515848211
91,1.65,646.0,12.0,2386.039620401448
92,2.07,715.0,15.0,4342.937684322529
93,2.5,782.0,18.0,7208.698502927139
94,2.95,837.0,21.0,10945.308805106837
95,4.48,1100.0,27.0,27140.00949485198
96,1.39,591.0,9.0,1219.7966515848211
97,1.65,646.0,12.0,2386.039620401448
98,2.07,714.0,15.0,4342.937684322529
99,2.5,781.0,18.0,7208.698502927139
100,2.95,836.0,21.0,10945.308805106837
101,3.56,934.0,24.0,16502.78620930718
102,1.27,580.0,6.0,732.3052475517808
103,1.39,590.0,9.0,1219.7966515848211
104,1.65,645.0,12.0,2386.039620401448
105,2.07,713.0,15.0,4342.937684322529
106,2.95,835.0,21.0,10945.308805106837
107,4.47,1100.0,27.0,27140.00949485198
108,1.1,451.0,3.0,44.390704195223776
109,1.27,581.0,6.0,739.3738310223578
110,1.65,644.0,12.0,2386.039620401448
111,2.07,712.0,15.0,4342.937684322529
112,2.49,778.0,18.0,7208.698502927139
113,4.47,1100.0,27.0,27140.00949485198
114,1.1,455.0,3.0,70.78217688048045
115,1.26,569.0,6.0,677.767199085462
116,1.39,589.0,9.0,1219.7966515848211
117,1.65,643.0,12.0,2386.039620401448
118,2.49,777.0,18.0,7208.698502927139
119,2.95,833.0,21.0,10945.308805106837
120,3.56,931.0,24.0,16502.78620930718
121,4.47,1100.0,27.0,27140.00949485198
122,1.26,567.0,6.0,673.5574649296516
123,1.39,588.0,9.0,1219.7966515848211
124,2.07,710.0,15.0,4342.937684322529
125,3.56,930.0,24.0,16502.78620930718
126,4.47,1100.0,27.0,27140.00949485198
127,1.12,464.0,3.0,126.30459104492404
128,1.26,566.0,6.0,669.3477307738412
129,1.39,587.0,9.0,1219.7966515848211
130,2.07,709.0,15.0,4342.937684322529
131,2.95,831.0,21.0,10945.308805106837
132,3.56,929.0,24.0,16502.78620930718
133,4.47,1100.0,27.0,27140.00949485198
134,1.25,556.0,6.0,623.0406550599278
135,1.13,470.0,3.0,160.40972089229484
136,1.24,548.0,6.0,586.5562923762384
137,1.39,586.0,9.0,1219.7966515848211
138,2.07,707.0,15.0,4342.937684322529
139,2.95,829.0,21.0,10945.308805106837
140,1.1,478.0,3.0,55.15380062642241
141,1.39,606.0,9.0,1219.7966515848211
142,1.66,661.0,12.0,2386.039620401448
143,2.08,731.0,15.0,4342.937684322529
144,2.5,800.0,18.0,7208.698502927139
145,4.5,1110.0,27.0,27140.00949485198
146,1.1,464.0,3.0,58.961410922573236
147,1.33,635.0,6.0,991.350505791283
148,1.39,605.0,9.0,1219.7966515848211
149,1.66,660.0,12.0,2386.039620401448
150,2.5,799.0,18.0,7208.698502927139
151,1.11,470.0,3.0,94.40067045016849
152,1.32,633.0,6.0,974.1450500251232
153,1.39,604.0,9.0,1219.7966515848211
154,2.5,798.0,18.0,7208.698502927139
155,2.96,852.0,21.0,10945.308805106837
156,3.58,949.0,24.0,16502.78620930718
157,1.32,632.0,6.0,969.872484016241
158,1.39,603.0,9.0,1219.7966515848211
159,2.08,728.0,15.0,4342.937684322529
160,2.5,796.0,18.0,7208.698502927139
161,2.96,851.0,21.0,10945.308805106837
162,4.5,1110.0,27.0,27140.00949485198
163,1.15,496.0,3.0,227.2418686096617
164,1.32,631.0,6.0,968.4482953466136
165,1.39,602.0,9.0,1219.7966515848211
166,2.08,727.0,15.0,4342.937684322529
167,2.96,850.0,21.0,10945.308805106837
168,4.49,1110.0,27.0,27140.00949485198
169,1.32,628.0,6.0,951.3580313110851
170,1.66,657.0,12.0,2386.039620401448
171,2.96,849.0,21.0,10945.308805106837
172,3.57,946.0,24.0,16502.78620930718
173,1.66,656.0,12.0,2386.039620401448
174,2.5,793.0,18.0,7208.698502927139
175,3.57,945.0,24.0,16502.78620930718
176,4.49,1110.0,27.0,27140.00949485198
177,1.32,624.0,6.0,941.3887106236936
178,2.08,724.0,15.0,4342.937684322529
179,2.96,847.0,21.0,10945.308805106837
180,4.49,1110.0,27.0,27140.00949485198
181,2.5,791.0,18.0,7208.698502927139
182,3.57,943.0,24.0,16502.78620930718
183,1.27,593.0,3.0,720.5556910273549
184,1.31,617.0,6.0,897.7101007632833
185,1.39,598.0,9.0,1219.7966515848211
186,1.66,653.0,12.0,2386.039620401448
187,2.08,722.0,15.0,4342.937684322529
188,2.5,790.0,18.0,7208.698502927139
189,2.96,845.0,21.0,10945.308805106837
190,4.49,1110.0,27.0,27140.00949485198
191,1.29,612.0,3.0,819.4844436888976
192,1.66,652.0,12.0,2386.039620401448
193,2.08,721.0,15.0,4342.937684322529
194,2.5,789.0,18.0,7208.698502927139
195,2.96,844.0,21.0,10945.308805106837
196,3.57,941.0,24.0,16502.78620930718
197,1.33,649.0,3.0,997.0891483718405
198,1.39,596.0,9.0,1219.7966515848211
199,2.08,720.0,15.0,4342.937684322529
200,2.96,843.0,21.0,10945.308805106837
201,3.57,940.0,24.0,16502.78620930718
202,4.49,1100.0,27.0,27140.00949485198
203,1.33,672.0,3.0,1061.020558872393
204,1.66,650.0,12.0,2386.039620401448
205,2.5,786.0,18.0,7208.698502927139
206,2.96,842.0,21.0,10945.308805106837
207,4.48,1100.0,27.0,27140.00949485198
208,1.32,667.0,3.0,997.7069949270466
209,1.39,595.0,9.0,1219.7966515848211
210,1.66,649.0,12.0,2386.039620401448
211,2.5,785.0,18.0,7208.698502927139
212,2.96,841.0,21.0,10945.308805106837
213,4.48,1100.0,27.0,27140.00949485198
214,1.28,596.0,6.0,800.1636488693202
215,1.39,594.0,9.0,1219.7966515848211
216,1.66,649.0,12.0,2386.039620401448
217,2.08,717.0,15.0,4342.937684322529
218,2.5,784.0,18.0,7208.698502927139
219,3.56,937.0,24.0,16502.78620930718
220,4.48,1100.0,27.0,27140.00949485198
221,1.28,590.0,6.0,769.0618815987814
222,1.66,648.0,12.0,2386.039620401448
223,2.5,783.0,18.0,7208.698502927139
224,3.56,936.0,24.0,16502.78620930718
225,4.48,1100.0,27.0,27140.00949485198
226,1.27,584.0,6.0,742.2012644105887
227,1.39,592.0,9.0,1219.7966515848211
228,1.65,647.0,12.0,2386.039620401448
229,2.07,715.0,15.0,4342.937684322529
230,1.27,584.0,6.0,749.2698478811656
231,2.07,714.0,15.0,4342.937684322529
232,2.95,837.0,21.0,10945.308805106837
233,3.56,934.0,24.0,16502.78620930718
234,1.12,492.0,3.0,133.80671430169645
235,2.5,780.0,18.0,7208.698502927139
236,3.56,933.0,24.0,16502.78620930718
237,4.48,1100.0,27.0,27140.00949485198
238,2.5,779.0,18.0,7208.698502927139
239,2.95,835.0,21.0,10945.308805106837
240,1.25,562.0,6.0,638.4763469645657
241,1.65,643.0,12.0,2386.039620401448
242,2.07,711.0,15.0,4342.937684322529
243,2.5,778.0,18.0,7208.698502927139
244,1.11,455.0,3.0,73.91539195366066
245,1.39,588.0,9.0,1219.7966515848211
246,1.65,642.0,12.0,2386.039620401448
247,2.07,710.0,15.0,4342.937684322529
248,2.49,777.0,18.0,7208.698502927139
249,3.56,930.0,24.0,16502.78620930718
250,1.12,463.0,3.0,117.21177470788398
251,1.25,557.0,6.0,621.6374103413243
252,1.65,642.0,12.0,2386.039620401448
253,2.07,710.0,15.0,4342.937684322529
254,2.49,776.0,18.0,7208.698502927139
255,4.47,1100.0,27.0,27140.00949485198
256,1.24,554.0,6.0,611.8146973111002
257,2.49,775.0,18.0,7208.698502927139
258,2.95,831.0,21.0,10945.308805106837
259,1.13,470.0,3.0,158.96458827164352
260,1.24,546.0,6.0,579.6238445873169
261,1.39,586.0,9.0,1219.7966515848211
262,1.65,640.0,12.0,2386.039620401448
263,2.07,708.0,15.0,4342.937684322529
264,2.49,774.0,18.0,7208.698502927139
265,2.95,830.0,21.0,10945.308805106837
266,3.56,927.0,24.0,16502.78620930718
267,1.39,585.0,9.0,1219.7966515848211
268,1.65,639.0,12.0,2386.039620401448
269,2.07,707.0,15.0,4342.937684322529
270,2.49,773.0,18.0,7208.698502927139
271,2.95,829.0,21.0,10945.308805106837
272,3.56,926.0,24.0,16502.78620930718
273,4.47,1090.0,27.0,27140.00949485198
274,1.1,477.0,3.0,56.82512791813219
275,1.39,605.0,9.0,1219.7966515848211
276,1.66,661.0,12.0,2386.039620401448
277,2.08,730.0,15.0,4342.937684322529
278,2.5,799.0,18.0,7208.698502927139
279,3.58,951.0,24.0,16502.78620930718
280,4.5,1110.0,27.0,27140.00949485198
281,1.33,635.0,6.0,995.6544877267011
282,2.08,729.0,15.0,4342.937684322529
283,2.96,852.0,21.0,10945.308805106837
